TITLE     = "Plot3D DataSet"
VARIABLES = "x"
"y"
"u"
"v"
ZONE T="LES dx0.125mm"
 I=641, J=181, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 0.000000000E+00 0.000000000E+00 4.553994751E+02 -6.889790297E-03
 1.249999914E-04 0.000000000E+00 4.612263184E+02 -2.273278311E-02
 2.499999828E-04 0.000000000E+00 4.681744690E+02 -6.259528548E-02
 3.750000033E-04 0.000000000E+00 4.778703613E+02 -9.260963649E-02
 4.999999655E-04 0.000000000E+00 4.903428650E+02 -1.163445562E-01
 6.249999860E-04 0.000000000E+00 5.056670532E+02 -1.516421735E-01
 7.500000065E-04 0.000000000E+00 5.248175049E+02 -2.050789148E-01
 8.749999688E-04 0.000000000E+00 5.472004395E+02 -2.043116987E-01
 9.999999311E-04 0.000000000E+00 5.720688477E+02 -1.656000465E-01
 1.124999952E-03 0.000000000E+00 5.981831055E+02 -8.063434809E-02
 1.249999972E-03 0.000000000E+00 6.245016479E+02 -6.051715929E-03
 1.374999993E-03 0.000000000E+00 6.503015137E+02 8.378662169E-02
 1.500000013E-03 0.000000000E+00 6.753278198E+02 1.852023304E-01
 1.624999917E-03 0.000000000E+00 6.998800659E+02 3.067668378E-01
 1.749999938E-03 0.000000000E+00 7.238576660E+02 3.747009933E-01
 1.874999958E-03 0.000000000E+00 7.450176392E+02 4.024453163E-01
 1.999999862E-03 0.000000000E+00 7.621102905E+02 3.959113359E-01
 2.124999883E-03 0.000000000E+00 7.684223633E+02 4.873499870E-01
 2.249999903E-03 0.000000000E+00 7.551179810E+02 4.076510966E-01
 2.374999924E-03 0.000000000E+00 7.039949951E+02 7.471993566E-02
 2.499999944E-03 0.000000000E+00 6.153956909E+02 1.232975051E-01
 2.624999965E-03 0.000000000E+00 5.432395630E+02 8.514344096E-01
 2.749999985E-03 0.000000000E+00 5.097425537E+02 8.683469892E-01
 2.875000006E-03 0.000000000E+00 4.940431213E+02 3.118336201E-01
 3.000000026E-03 0.000000000E+00 4.830628357E+02 -1.948789358E-01
 3.124999814E-03 0.000000000E+00 4.740389709E+02 -8.110276610E-02
 3.249999834E-03 0.000000000E+00 4.675802917E+02 3.562049866E-01
 3.374999855E-03 0.000000000E+00 4.644168091E+02 5.786394477E-01
 3.499999875E-03 0.000000000E+00 4.642370300E+02 5.359725952E-01
 3.624999896E-03 0.000000000E+00 4.658883667E+02 3.984601498E-01
 3.749999916E-03 0.000000000E+00 4.687272034E+02 3.135796189E-01
 3.874999937E-03 0.000000000E+00 4.729434509E+02 3.330927193E-01
 3.999999724E-03 0.000000000E+00 4.799506836E+02 3.994640410E-01
 4.124999978E-03 0.000000000E+00 4.911582031E+02 4.343862236E-01
 4.249999765E-03 0.000000000E+00 5.067439575E+02 4.188356698E-01
 4.375000019E-03 0.000000000E+00 5.259718018E+02 3.637214601E-01
 4.499999806E-03 0.000000000E+00 5.475941772E+02 2.931241989E-01
 4.625000060E-03 0.000000000E+00 5.702494507E+02 2.253255546E-01
 4.749999847E-03 0.000000000E+00 5.929529419E+02 1.741602421E-01
 4.875000101E-03 0.000000000E+00 6.143049927E+02 1.636013538E-01
 4.999999888E-03 0.000000000E+00 6.334434814E+02 2.098001540E-01
 5.124999676E-03 0.000000000E+00 6.506541748E+02 3.008569479E-01
 5.249999929E-03 0.000000000E+00 6.653378906E+02 3.678395450E-01
 5.374999717E-03 0.000000000E+00 6.765396118E+02 4.091839790E-01
 5.499999970E-03 0.000000000E+00 6.832490845E+02 4.512209594E-01
 5.624999758E-03 0.000000000E+00 6.849371948E+02 4.935153723E-01
 5.750000011E-03 0.000000000E+00 6.814725952E+02 4.978998005E-01
 5.874999799E-03 0.000000000E+00 6.718980713E+02 4.160278440E-01
 6.000000052E-03 0.000000000E+00 6.546374512E+02 2.390717566E-01
 6.124999840E-03 0.000000000E+00 6.288051147E+02 2.621887252E-02
 6.249999627E-03 0.000000000E+00 5.955867310E+02 -1.164105907E-01
 6.374999881E-03 0.000000000E+00 5.593814697E+02 -1.284855902E-01
 6.499999668E-03 0.000000000E+00 5.263505249E+02 -5.524139106E-02
 6.624999922E-03 0.000000000E+00 5.009435120E+02 2.750582621E-02
 6.749999709E-03 0.000000000E+00 4.842860413E+02 9.509965777E-02
 6.874999963E-03 0.000000000E+00 4.751861572E+02 1.541000456E-01
 6.999999750E-03 0.000000000E+00 4.717603455E+02 2.050494999E-01
 7.125000004E-03 0.000000000E+00 4.723682556E+02 2.366457880E-01
 7.249999791E-03 0.000000000E+00 4.760729675E+02 2.384693325E-01
 7.375000045E-03 0.000000000E+00 4.826564026E+02 2.053898275E-01
 7.499999832E-03 0.000000000E+00 4.921396790E+02 1.373193562E-01
 7.624999620E-03 0.000000000E+00 5.042107544E+02 4.378531501E-02
 7.749999873E-03 0.000000000E+00 5.184845581E+02 -6.331297010E-02
 7.875000127E-03 0.000000000E+00 5.343163452E+02 -1.723757684E-01
 7.999999449E-03 0.000000000E+00 5.510402222E+02 -2.737662792E-01
 8.124999702E-03 0.000000000E+00 5.679384766E+02 -3.589979708E-01
 8.249999955E-03 0.000000000E+00 5.843201294E+02 -4.224829674E-01
 8.375000209E-03 0.000000000E+00 5.996140137E+02 -4.631607533E-01
 8.499999531E-03 0.000000000E+00 6.133983154E+02 -4.839295149E-01
 8.624999784E-03 0.000000000E+00 6.253046265E+02 -4.968914986E-01
 8.750000037E-03 0.000000000E+00 6.348906250E+02 -5.159223676E-01
 8.874999359E-03 0.000000000E+00 6.416159668E+02 -5.371592641E-01
 8.999999613E-03 0.000000000E+00 6.449930420E+02 -5.412301421E-01
 9.124999866E-03 0.000000000E+00 6.446753540E+02 -5.109189749E-01
