TITLE     = "Plot3D DataSet"
VARIABLES = "x"
"y"
"u"
"v"
ZONE T="LES dx0.177mm"
 I=451, J=129, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 1.433700044E-02 0.000000000E+00 5.293188477E+02 -1.396804690E+00
 1.451400016E-02 0.000000000E+00 5.375338135E+02 -1.184379578E+00
 1.469099987E-02 0.000000000E+00 5.478285522E+02 -1.025992036E+00
 1.486799959E-02 0.000000000E+00 5.590249023E+02 -9.482694864E-01
 1.504500024E-02 0.000000000E+00 5.698585205E+02 -9.739364386E-01
 1.522199996E-02 0.000000000E+00 5.791254883E+02 -1.108304381E+00
 1.539899968E-02 0.000000000E+00 5.858368530E+02 -1.345742702E+00
 1.557600033E-02 0.000000000E+00 5.893411865E+02 -1.653560638E+00
 1.575299911E-02 0.000000000E+00 5.893579102E+02 -2.005716801E+00
 1.593000069E-02 0.000000000E+00 5.858973999E+02 -2.382230997E+00
 1.610700041E-02 0.000000000E+00 5.791898804E+02 -2.761933804E+00
 1.628400013E-02 0.000000000E+00 5.698035278E+02 -3.099821806E+00
 1.646099985E-02 0.000000000E+00 5.588247070E+02 -3.297169924E+00
 1.663799956E-02 0.000000000E+00 5.478142700E+02 -3.312095404E+00
 1.681499928E-02 0.000000000E+00 5.385285034E+02 -3.165454388E+00
 1.699200086E-02 0.000000000E+00 5.322980957E+02 -2.887158871E+00
 1.716900058E-02 0.000000000E+00 5.296465454E+02 -2.575627089E+00
 1.734600030E-02 0.000000000E+00 5.302305298E+02 -2.245897770E+00
 1.752300002E-02 0.000000000E+00 5.331783447E+02 -1.935439825E+00
 1.769999973E-02 0.000000000E+00 5.375070190E+02 -1.725177646E+00
 1.787699945E-02 0.000000000E+00 5.421338501E+02 -1.631040573E+00
 1.805399917E-02 0.000000000E+00 5.461557617E+02 -1.699075818E+00
 1.823100075E-02 0.000000000E+00 5.488964844E+02 -1.905415416E+00
 1.840800047E-02 0.000000000E+00 5.498339233E+02 -2.189361095E+00
 1.858500019E-02 0.000000000E+00 5.486722412E+02 -2.548311710E+00
 1.876199991E-02 0.000000000E+00 5.453599854E+02 -2.924742937E+00
 1.893899962E-02 0.000000000E+00 5.401241455E+02 -3.215401173E+00
