TITLE     = "Plot3D DataSet"
VARIABLES = "x"
"y"
"u"
"v"
ZONE T="LES dx0.25mm"
 I=321, J=91, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 2.025000006E-02 0.000000000E+00 5.432407227E+02 9.307094663E-02
 2.050000057E-02 0.000000000E+00 5.448674316E+02 1.123069227E-01
 2.074999921E-02 0.000000000E+00 5.462503052E+02 1.901656985E-01
 2.099999972E-02 0.000000000E+00 5.465264893E+02 2.809580564E-01
 2.125000022E-02 0.000000000E+00 5.453215942E+02 3.189948499E-01
 2.150000073E-02 0.000000000E+00 5.426666870E+02 2.834226489E-01
 2.174999937E-02 0.000000000E+00 5.389143677E+02 1.892318577E-01
 2.199999988E-02 0.000000000E+00 5.346531372E+02 5.809541419E-02
 2.225000039E-02 0.000000000E+00 5.305338135E+02 -7.735317945E-02
 2.250000089E-02 0.000000000E+00 5.270227661E+02 -2.205272913E-01
 2.274999954E-02 0.000000000E+00 5.242755127E+02 -3.627332151E-01
 2.300000004E-02 0.000000000E+00 5.220805664E+02 -4.724674523E-01
 2.325000055E-02 0.000000000E+00 5.199816284E+02 -5.873688459E-01
 2.349999920E-02 0.000000000E+00 5.176628418E+02 -7.587128282E-01
 2.374999970E-02 0.000000000E+00 5.146098022E+02 -9.510774016E-01
 2.400000021E-02 0.000000000E+00 5.105990906E+02 -1.068528891E+00
 2.425000072E-02 0.000000000E+00 5.057946167E+02 -1.059317708E+00
 2.449999936E-02 0.000000000E+00 5.006910095E+02 -1.031839967E+00
 2.474999987E-02 0.000000000E+00 4.955913086E+02 -1.032949209E+00
 2.500000037E-02 0.000000000E+00 4.906891174E+02 -9.886655211E-01
 2.525000088E-02 0.000000000E+00 4.861055298E+02 -9.517743587E-01
 2.549999952E-02 0.000000000E+00 4.818171997E+02 -8.881552815E-01
 2.575000003E-02 0.000000000E+00 4.772569275E+02 -7.275097370E-01
 2.600000054E-02 0.000000000E+00 4.723737793E+02 -6.992254257E-01
 2.624999918E-02 0.000000000E+00 4.676393127E+02 -9.645645618E-01
 2.649999969E-02 0.000000000E+00 4.626820374E+02 -1.340767622E+00
 2.675000019E-02 0.000000000E+00 4.576084595E+02 -1.667088151E+00
 2.700000070E-02 0.000000000E+00 4.524607544E+02 -1.899118066E+00
 2.724999934E-02 0.000000000E+00 4.473485107E+02 -2.036065340E+00
 2.749999985E-02 0.000000000E+00 4.422552795E+02 -2.099330902E+00
 2.775000036E-02 0.000000000E+00 4.372981262E+02 -2.131333351E+00
 2.800000086E-02 0.000000000E+00 4.323922119E+02 -2.057796717E+00
 2.824999951E-02 0.000000000E+00 4.274106445E+02 -1.789037347E+00
 2.850000001E-02 0.000000000E+00 4.223754272E+02 -1.525579929E+00
 2.875000052E-02 0.000000000E+00 4.171722412E+02 -1.295208812E+00
 2.899999917E-02 0.000000000E+00 4.118052979E+02 -1.154682517E+00
 2.924999967E-02 0.000000000E+00 4.063061523E+02 -1.156158447E+00
 2.950000018E-02 0.000000000E+00 4.006606750E+02 -1.115136147E+00
 2.975000069E-02 0.000000000E+00 3.949702759E+02 -1.154074430E+00
 2.999999933E-02 0.000000000E+00 3.890902100E+02 -1.248963833E+00
 3.024999984E-02 0.000000000E+00 3.830486450E+02 -1.321933866E+00
 3.050000034E-02 0.000000000E+00 3.771858826E+02 -1.411665201E+00
 3.075000085E-02 0.000000000E+00 3.712330933E+02 -1.445369601E+00
 3.099999949E-02 0.000000000E+00 3.652392883E+02 -1.512386799E+00
 3.125000000E-02 0.000000000E+00 3.590259705E+02 -1.394829750E+00
 3.150000051E-02 0.000000000E+00 3.522787781E+02 -1.167015195E+00
 3.175000101E-02 0.000000000E+00 3.454124756E+02 -9.947676659E-01
 3.200000152E-02 0.000000000E+00 3.387486572E+02 -9.184591770E-01
 3.224999830E-02 0.000000000E+00 3.319674377E+02 -9.116902947E-01
 3.249999881E-02 0.000000000E+00 3.253544617E+02 -7.902252674E-01
 3.274999931E-02 0.000000000E+00 3.186819763E+02 -5.936564207E-01
 3.299999982E-02 0.000000000E+00 3.119035339E+02 -4.402298033E-01
 3.325000033E-02 0.000000000E+00 3.050762024E+02 -3.548037708E-01
 3.350000083E-02 0.000000000E+00 2.984313965E+02 1.247400865E-01
 3.375000134E-02 0.000000000E+00 2.915762329E+02 7.127773762E-01
 3.400000185E-02 0.000000000E+00 2.843255615E+02 9.844780564E-01
 3.424999863E-02 0.000000000E+00 2.769672852E+02 1.424109578E+00
 3.449999914E-02 0.000000000E+00 2.689278564E+02 1.946358681E+00
 3.474999964E-02 0.000000000E+00 2.602976379E+02 2.154124498E+00
 3.500000015E-02 0.000000000E+00 2.517238159E+02 2.294185638E+00
 3.525000066E-02 0.000000000E+00 2.423142700E+02 2.338157415E+00
 3.550000116E-02 0.000000000E+00 2.326359558E+02 2.441647053E+00
 3.575000167E-02 0.000000000E+00 2.231446838E+02 2.449141741E+00
 3.599999845E-02 0.000000000E+00 2.135733795E+02 2.422680378E+00
 3.624999896E-02 0.000000000E+00 2.037747650E+02 2.711226225E+00
 3.649999946E-02 0.000000000E+00 1.934647217E+02 3.247730494E+00
 3.674999997E-02 0.000000000E+00 1.828976593E+02 3.802527189E+00
 3.700000048E-02 0.000000000E+00 1.715181580E+02 3.762773514E+00
 3.725000098E-02 0.000000000E+00 1.598491516E+02 3.342893362E+00
 3.750000149E-02 0.000000000E+00 1.471730042E+02 3.472068787E+00
 3.774999827E-02 0.000000000E+00 1.346021729E+02 4.270535946E+00
 3.799999878E-02 0.000000000E+00 1.216388092E+02 5.370148182E+00
 3.824999928E-02 0.000000000E+00 1.073377991E+02 5.689620018E+00
 3.849999979E-02 0.000000000E+00 9.252799225E+01 4.067551613E+00
 3.875000030E-02 0.000000000E+00 7.721862793E+01 1.861979604E+00
 3.900000080E-02 0.000000000E+00 6.144644547E+01 4.942870140E-01
 3.925000131E-02 0.000000000E+00 4.524135590E+01 4.301018119E-01
 3.950000182E-02 0.000000000E+00 2.919946671E+01 1.302777171E+00
 3.974999860E-02 0.000000000E+00 1.360381413E+01 2.436861277E+00
 3.999999911E-02 0.000000000E+00 -1.280479550E+00 3.637404919E+00
